iter	Passed	Remaining
627	2614	1548
628	2617	1544
629	2621	1539
630	2625	1535
631	2628	1530
632	2632	1526
633	2635	1521
634	2639	1517
635	2642	1512
636	2646	1508
637	2650	1503
638	2653	1499
639	2657	1494
640	2660	1490
641	2664	1485
642	2668	1481
643	2672	1477
644	2690	1480
645	2693	1476
646	2697	1471
647	2701	1467
648	2704	1462
649	2708	1458
650	2711	1453
651	2715	1449
652	2719	1445
653	2723	1440
654	2728	1437
655	2734	1434
656	2752	1437
657	2758	1433
658	2762	1429
659	2768	1426
660	2773	1422
661	2777	1418
662	2782	1414
663	2786	1410
664	2791	1406
665	2796	1402
666	2801	1398
667	2806	1394
668	2811	1391
669	2816	1387
670	2820	1383
671	2825	1379
672	2829	1374
673	2833	1370
674	2837	1366
675	2841	1361
676	2846	1357
677	2850	1353
678	2854	1349
679	2859	1345
680	2864	1341
681	2868	1337
682	2873	1333
683	2878	1329
684	2882	1325
685	2886	1321
686	2891	1317
687	2896	1313
688	2901	1309
689	2905	1305
690	2909	1301
691	2913	1296
692	2916	1292
693	2920	1287
694	2924	1283
695	2927	1278
696	2931	1274
697	2934	1269
698	2938	1265
699	2942	1260
700	2945	1256
701	2949	1252
702	2952	1247
703	2956	1243
704	2959	1238
705	2963	1234
706	2967	1229
707	2971	1225
708	2977	1221
709	2981	1217
710	2984	1213
711	2988	1208
712	2992	1204
713	3008	1204
714	3012	1200
715	3016	1196
716	3021	1192
717	3025	1188
718	3029	1184
719	3034	1179
720	3039	1176
721	3043	1172
722	3047	1167
723	3052	1163
724	3056	1159
725	3060	1155
726	3064	1150
727	3068	1146
728	3072	1142
729	3076	1137
730	3080	1133
731	3085	1129
732	3089	1125
733	3097	1122
734	3102	1118
735	3106	1114
736	3111	1110
737	3116	1106
738	3120	1102
739	3125	1098
740	3129	1093
741	3134	1089
742	3138	1085
743	3142	1081
744	3157	1080
745	3161	1076
746	3166	1072
747	3188	1074
748	3191	1069
749	3196	1065
750	3201	1061
751	3205	1057
752	3210	1052
753	3214	1048
754	3218	1044
755	3232	1043
756	3237	1039
757	3242	1035
758	3247	1031
759	3251	1026
760	3255	1022
761	3258	1017
762	3262	1013
763	3266	1008
764	3269	1004
765	3273	1000
766	3277	995
767	3280	991
768	3284	986
769	3288	982
770	3308	982
771	3312	978
772	3316	973
773	3320	969
774	3324	965
775	3328	960
776	3332	956
777	3336	952
778	3340	947
779	3345	943
780	3349	939
781	3353	934
782	3357	930
783	3361	926
784	3382	926
785	3386	922
786	3391	917
787	3396	913
788	3413	912
789	3417	908
790	3422	904
791	3428	900
792	3433	896
793	3437	891
794	3442	887
795	3448	883
796	3453	879
797	3457	875
798	3462	871
799	3467	866
800	3472	862
801	3478	858
802	3490	856
803	3495	852
804	3499	847
805	3504	843
806	3509	839
807	3514	835
808	3518	830
809	3523	826
810	3527	821
811	3531	817
812	3535	813
813	3539	808
814	3544	804
815	3548	800
816	3552	795
817	3556	791
818	3560	786
819	3564	782
820	3569	778
821	3575	774
822	3580	770
823	3584	765
824	3588	761
825	3592	756
826	3596	752
827	3600	747
828	3604	743
829	3607	738
830	3611	734
831	3615	729
832	3618	725
833	3622	720
834	3626	716
835	3629	712
836	3633	707
837	3636	703
838	3640	698
839	3644	694
840	3648	689
841	3651	685
842	3655	680
843	3658	676
844	3662	671
845	3665	667
846	3669	662
847	3672	658
848	3676	653
849	3680	649
850	3684	645
851	3688	640
852	3692	636
853	3696	631
854	3700	627
855	3704	623
856	3708	618
857	3716	615
858	3721	610
859	3724	606
860	3729	602
861	3748	600
862	3752	595
863	3756	591
864	3760	586
865	3764	582
866	3768	578
867	3771	573
868	3775	569
869	3779	564
870	3782	560
871	3786	555
872	3790	551
873	3793	546
874	3797	542
875	3801	538
876	3804	533
877	3808	529
878	3812	524
879	3815	520
880	3819	515
881	3823	511
882	3827	507
883	3830	502
884	3834	498
885	3838	493
886	3841	489
887	3845	484
888	3848	480
889	3853	476
890	3856	471
891	3860	467
892	3863	462
893	3867	458
894	3871	454
895	3874	449
896	3878	445
897	3882	440
898	3885	436
899	3889	432
900	3892	427
901	3896	423
902	3900	418
903	3904	414
904	3907	410
905	3911	405
906	3914	401
907	3918	397
908	3922	392
909	3925	388
910	3929	383
911	3932	379
912	3936	375
913	3940	370
914	3943	366
915	3947	361
916	3950	357
917	3954	353
918	3958	348
919	3961	344
920	3965	340
921	3969	335
922	3972	331
923	3976	327
924	3979	322
925	3983	318
926	3987	314
927	3992	309
928	3996	305
929	4000	301
930	4005	296
931	4009	292
932	4013	288
933	4017	283
934	4022	279
935	4026	275
936	4030	271
937	4034	266
938	4038	262
939	4041	257
940	4045	253
941	4048	249
942	4052	244
943	4056	240
944	4059	236
945	4063	231
946	4067	227
947	4071	223
948	4074	218
949	4078	214
950	4082	210
951	4085	205
